English,Arabic
Microsatellite instability colorectal cancer must undergo mismatch repair deficiency testing.,يجب أن يخضع سرطان القولون والمستقيم غير المستقر للأقمار الصغيرة لاختبار نقص إصلاح عدم التطابق.
Prostate-specific antigen screening must be followed by Gleason score grading for prostate cancer.,يجب أن يتبع فحص المستضد البروستاتي النوعي تصنيف درجة غليسون لسرطان البروستاتا.
Epithelial ovarian cancer must undergo BRCA mutation testing before PARP inhibitor therapy.,يجب أن يخضع سرطان المبيض الظهاري لاختبار طفرة BRCA قبل علاج مثبط PARP.
Pancreatic ductal adenocarcinoma must receive neoadjuvant FOLFIRINOX before Whipple procedure.,يجب أن يتلقى سرطان غدي القناة البنكرياسية علاج FOLFIRINOX المساعد الجديد قبل عملية ويبل.
Hepatocellular carcinoma must undergo liver transplant evaluation if within Milan criteria.,يجب أن يخضع سرطان الخلايا الكبدية لتقييم زراعة الكبد إذا كان ضمن معايير ميلان.
Renal cell carcinoma must receive tyrosine kinase inhibitor therapy for metastatic disease.,يجب أن يتلقى سرطان الخلايا الكلوية علاج مثبط كيناز التيروزين للمرض النقيلي.
Urothelial carcinoma must undergo intravesical bacillus calmette-guérin after transurethral resection.,يجب أن يخضع سرطان الظهارة البولية لعصية كالميت-غيران داخل المثانة بعد الاستئصال عبر الإحليل.
Glioblastoma multiforme must receive concurrent chemoradiation after maximal safe resection.,يجب أن يتلقى الورم الأرومي الدبقي متعدد الأشكال العلاج الإشعاعي الكيميائي المتزامن بعد الاستئصال الآمن الأقصى.
Atopic dermatitis must be managed by moisturizer barrier repair daily.,يجب إدارة التهاب الجلد التأتبي عن طريق إصلاح حاجز المرطب يومياً.
Plaque psoriasis must achieve PASI score improvement before biologic switching.,يجب أن يحقق الصدفية اللويحية تحسن درجة PASI قبل التبديل إلى الأدوية البيولوجية.
Acne vulgaris must receive topical retinoid therapy for comedone prevention.,يجب أن يتلقى حب الشباب الشائع علاج الريتينويد الموضعي للوقاية من الرؤوس السوداء.
Papulopustular rosacea must avoid trigger factors after topical metronidazole therapy.,يجب أن تتجنب الوردية الحطاطية البثرية عوامل التحفيز بعد علاج الميترونيدازول الموضعي.
Hidradenitis suppurativa must undergo Hurley stage classification before biologic therapy.,يجب أن يخضع التهاب الغدد العرقية القيحي لتصنيف مرحلة هيرلي قبل العلاج البيولوجي.
Cutaneous melanoma must undergo sentinel lymph node biopsy for staging.,يجب أن يخضع الميلانوما الجلدية لخزعة العقدة اللمفاوية الحارسة للتصنيف المرحلي.
Superficial basal cell carcinoma must undergo surgical margin assessment after Mohs surgery.,يجب أن يخضع سرطان الخلايا القاعدية السطحي لتقييم الهامش الجراحي بعد جراحة موس.
Tinea corporis must undergo potassium hydroxide examination before antifungal therapy.,يجب أن تخضع السعفة الجسدية لفحص هيدروكسيد البوتاسيوم قبل العلاج المضاد للفطريات.
Allergic contact dermatitis must include patch test diagnosis for allergen identification.,يجب أن يتضمن التهاب الجلد التماسي التحسسي تشخيص اختبار الرقعة لتحديد المواد المسببة للحساسية.
Non-segmental vitiligo must include psychological support intervention for quality of life.,يجب أن يتضمن البهاق غير القطعي تدخل الدعم النفسي لجودة الحياة.
Prader-Willi syndrome must include behavioral intervention program for hyperphagia management.,يجب أن تتضمن متلازمة برادر-ويلي برنامج التدخل السلوكي لإدارة فرط الأكل.
ATP7B gene mutation must be confirmed before penicillamine chelation therapy in Wilson disease.,يجب تأكيد طفرة جين ATP7B قبل علاج الاستخلاب بالبنسيلامين في مرض ويلسون.
LDL receptor mutation must be confirmed before PCSK9 inhibitor therapy in familial hypercholesterolemia.,يجب تأكيد طفرة مستقبل البروتين الدهني منخفض الكثافة قبل علاج مثبط PCSK9 في فرط كوليسترول الدم العائلي.
PKD1 gene mutation must be confirmed before tolvaptan therapy in polycystic kidney disease.,يجب تأكيد طفرة جين PKD1 قبل علاج تولفابتان في مرض الكلى متعددة الكيسات.
